bootstrap_id,unweighted_mae_difference,weighted_mae_difference
1449,-1.559,-1.3568
1450,-2.3454,-2.4351
1451,-1.7017,-1.8064
1452,-0.8557,-0.7506
1453,-1.2073,-0.7243
1454,-1.8439,-2.0458
1455,-1.41,-1.8839
1456,-1.5493,-1.559
1457,-2.1162,-1.7441
1458,-2.1023,-2.2893
1459,-1.8139,-1.5937
1460,-0.9499,-1.3453
1461,-1.295,-1.0502
1462,-1.5504,-1.74
1463,-2.5082,-2.1945
1464,-1.0102,-1.0504
1465,-1.4855,-1.1719
1466,-2.1874,-1.9384
1467,-1.0849,-0.915
1468,-1.8906,-1.7973
1469,-1.7684,-1.796
1470,-1.6233,-1.7796
1471,-1.0571,-0.5214
1472,-2.2792,-2.1899
1473,-1.2495,-1.0182
1474,-1.2278,-1.0964
1475,-2.6042,-2.661
1476,-1.5856,-1.7596
1477,-1.3807,-1.321
1478,-1.5282,-1.694
1479,-2.0762,-1.9913
1480,-2.0289,-1.8327
1481,-1.1303,-1.1923
1482,-2.1706,-2.0845
1483,-1.1448,-1.3446
1484,-1.6466,-1.5432
1485,-1.5654,-1.7212
1486,-0.8323,-0.7026
1487,-1.4442,-1.7705
1488,-1.624,-1.5402
1489,-1.0129,-0.7547
1490,-1.6971,-1.5662
1491,-2.0779,-1.8783
1492,-1.5438,-1.3138
1493,-2.4073,-2.2179
1494,-2.943,-2.7381
1495,-1.7384,-1.73
1496,-1.2671,-1.7019
1497,-1.455,-1.9204
1498,-0.8388,-1.045
1499,-0.768,-1.0014
1500,-0.7616,-0.7877
1501,-1.4576,-1.2705
1502,-2.4273,-2.3682
1503,-2.6099,-2.5963
1504,-1.5229,-1.4471
1505,-2.7116,-2.2205
1506,-2.5248,-2.3739
1507,-2.0278,-1.6483
1508,-1.6404,-1.4145
1509,-1.8317,-1.543
1510,-2.3839,-2.5533
1511,-2.2162,-2.2851
1512,-2.2451,-2.2075
1513,-1.6679,-1.3458
1514,-1.4369,-1.5441
1515,-2.4665,-2.6068
1516,-1.5665,-1.5614
1517,-1.344,-1.1728
1518,-2.0913,-1.6728
1519,-0.8935,-1.0957
1520,-0.9834,-1.1584
1521,-1.6704,-1.657
1522,-1.4013,-1.56
1523,-2.1909,-2.2662
1524,-1.6095,-1.7393
1525,-1.3953,-2.0145
1526,-2.2731,-2.4135
1527,-2.2495,-2.4493
1528,-1.7296,-2.046
1529,-1.5742,-1.5891
1530,-2.1021,-2.3534
1531,-3.0043,-2.8345
1532,-1.1949,-0.9719
1533,-1.5424,-1.7724
1534,-1.773,-1.3719
